objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,Latitude,Longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,https://live.staticflickr.com/65535/54767630165_3b88c7a21f_b.jpg,,,Comic Magazines Are Standard Diet,Decatur Herald and Review,1948-07-28,"Newspaper photograph showing two young boys reading comics in front of a newsstand. The caption reads, ""Typical outlet for the thousands of magazines bought each month in Decatur is this stand in Tolly's Market on East Wood street. The magazine business is booming and Managers Ray Cohen of Decatur News and R.L. Hackett of American News agencies keep close watch on stands such as this. In fact they can tell you what each neighborhood is reading."" Comic book titles visible in the photo include King Comics, Black Cat, and Terry-Toons. According to information provided by the Decatur Public Library, Tolly's Market was a local grocery chain. The store in the photo was located at 2220 E. Wood St. ",newsstands;news stands;distribution;sales;readers;Ray Cohen; R.L. Hackett;Decatur News;American News;King Comics;Black Cat;Terry-Toons;Tolly's Market,"Decatur, IL",39.8413102,-88.9257465,Newspapers.com,,Image;StillImage,image/jpeg,eng,In copyright,https://rightsstatements.org/page/InC/1.0/?language=en
coll002,https://live.staticflickr.com/65535/54767297086_87efc4acab_z.jpg,,,Launch All-Out War on Crime Comics,Southtown Economist,1954-09-19,"Newspaper photograph showing a group of formally attired women standing in front of a table of comics and magazines. The caption reads, ""Examples of crime-horror books which deprave the minds and twist the moral values of young people ate viewed at the first meeting of the Citizens Committee for Better Juvenile Literature by, left to right, Mrs. Robert V. Johlic, chairman; Mrs. Ida Marie Cohen, Illinois Council on Motion Pictures, Radio, Television and Publications; Mrs. Joseph Hector, Illinois Federation of Women's Clubs; Mrs. Donald Conn, executive board of Citizens committee and director at large of Illinois council; Mrs. Jean Coulter, Citizens committee corresponding secretary, and Mrs. B. A. Levinson, secretary-treasurer. Goal of the group is to hait distribution of the vile publications."" A December 1954 paper by John E. Twomey in Law and Contemporary Problems (20.4) describes the Committee as an outgrowth of a February 1954 meeting of the Chicago Police Department's Censor Bureau. Twomey reports that the Committee languished until Fall 1954, when Mrs. Robert V. Johlic, who had been active in decency crusades for the Council of Catholic Women of the Archdiocese of Chicago, reinvigorated it. ","censorship;citizens group;women's clubs;Catholic Church; Citizens Committee for Better Juvenile Literature;Mrs. Robert V. Johlic;Mrs. Ida B. Cohen;Illinois Council on Motion Pictures, Radio, Television and Publications;Mrs. Joseph Hector;Illinois Federation of Women's Clubs;Mrs. Donald Conn;Mrs. Jean Coulter;Mrs. B. A. Levinson;Council of Catholic Women;Archdiocese of Chicago;John E. Twomey","Chicago, IL",38.8976763,-77.0365298,Newspapers.com,,Image;StillImage,image/jpeg,eng,In copyright,https://rightsstatements.org/page/InC/1.0/?language=en
coll003,https://live.staticflickr.com/65535/54767606338_743ef7ae6c_z.jpg,,,County Fairground Loafers,Rock Island Argus,1953-08-22,"Newspaper photo showing a group of boys reading comics. The caption reads, ""Caught loafing and reading comic books in one of the tents at the Rock Island County fairgrounds yesterday afternoon were, left to right, Wayne Krouse, 13, Pre-emption, Bob Rogers, 16, Campbell's island: Jim Davis, 12, Milan; Billy Pearson, 11, Edgington; Bill Gustafson, 15, Coal Valley: Ned Nice, 14, Milan; and John Olson, 13, Buffalo Prairie. (Argus photo.)"" One visible comic book is Unknown Worlds.",readers;Wayne Krouse;Bob Rogers;Jim Davis;Billy Pearson;Bill Gustafson;: Ned Nice;John Olson;Unknown Worlds;Rock Island County Fairgrounds ,"East Moline, IL",41.4875494,-90.4305293,Newspapers.com,,Image;StillImage,image/jpeg,eng,In copyright,https://rightsstatements.org/page/InC/1.0/?language=en
coll004,https://live.staticflickr.com/65535/54767758658_8f7010283c_z.jpg,,,[Louise Crutcher's Library],Chicago Defender (National),1941-03-15,"Newspaper photo that accompanied article about Louise Crutcher, a Black 13-year-old and sophomore at DuSable High School. She started a lending library, which now has 1,500 books and comics in it. Crutcher distributed the books to 'crippled children' for free on Saturdays and was provided 175 comic books by the boxer Joe Louis.",readers;African American;Black;civic engagement;libraries;Louise Crutcher;Joe Louis;DuSable High School,"Chicago, IL",38.8976763,-77.0365298,Proquest Historic Newspapers,,Image;StillImage,image/jpeg,eng,In copyright,https://rightsstatements.org/page/InC/1.0/?language=en
coll005,https://live.staticflickr.com/65535/54767838313_57af23ef7f_z.jpg,,,"Humboldt Park (0219) Activities - Day camps, 1951",unknown,1951-00-00,"Photograph of a young boy in a swimming pool, reading a issue of Haunt of Fear #8, July/August 1951. ",readers;horror;EC;Entertaining Comics;Haunt of Fear,"Chicago, IL",41.906638,-87.701431,Chicago Public Library Special Collections & Preservation Division,cgp_spe_p00001_043_008_006.jp2,Image;StillImage,image/jp2,eng,Undetermined,http://rightsstatements.org/vocab/UND/1.0/
coll006,https://live.staticflickr.com/65535/54767850688_6cd5c80b45_z.jpg,,,Play Capes Made in Decatur,Decatur Herald and Review,1948-04-01,"Newspaper photograph, accompanying a story, of two boys wearing Captain Marvel Play Capes. The caption reads, Kenneth Kiley of 974 West King street helps his playmate, Jim Schooley of 1024 West View street, adjust a 'Captain Marvel Play Cape.' The capes are a product of the recently organized B & C Manufacturing & Sales Co. of Decatur."" ",readers;merchandise;manufacturing;toys;Fawcett Comics;Kenneth Kiley;Jim Schooley;B & C Manufacturing & Sales Co;Captain Marvel,"Decatur, IL ",38.8976763,-77.0365298,Newspapers.com,,Image;StillImage,image/jpeg,eng,In copyright,https://rightsstatements.org/page/InC/1.0/?language=en
coll007,https://live.staticflickr.com/65535/55140418721_85d10f0f50_b.jpg,,,[Great Show for Children],The Times,1942-10-16,"Newspaper advertisement. The ad is for the Plumb theater in Streator, Illinois, which had a Saturday morning show especially for children. On the bill: Superman cartoons, Popeye cartoons, and a Gene Autry feature. Admission was 11 cents. All children attending received for free a ""Superman Comic Magazine, Superman Membership Card, [and] Superman Buttons."" The ad also states: ""When buying comic magazines get Superman Publication"" [sic].",film;cartoons;merchandise;clubs;DC (Detective Comics);National Comics;Superman;Popeye;Plumb Theater,"Streator, IL",41.12070276,-88.83168809,Newspapers.com,,Image;StillImage,image/png,eng,In copyright,https://rightsstatements.org/page/InC/1.0/?language=en
coll008,https://live.staticflickr.com/65535/55139640852_b2e65a63d7_w.jpg,,,Kiddies' Kolor Kontest,Daily Calumet,1941-05-09,"Newspaper advertisement. The ad is for the Gayety Theater. It features a black and white line drawing of Captain Marvel riding the Engine of Doom. The caption reads: ""Hey Kids! Color the above picture of Captain Marvel in his stratoplane. Bring your colored picture to the Gayety theater by tomorrow at noon. The best entries will receive a free guest ticket to the Gayety theater for Sunday or Monday when the first chapter of this thrill-a-minutre searialization of the Whiz Comic Magazine hero Captain Marvel, will be shown.""",film;cartoons;contest;Captain Marvel; Fawcett Comics;Gayety Theater,"Chicago, IL",41.72832603,-87.55104787,Newspapers.com,,Image;StillImage,image/jpeg,eng,In copyright,https://rightsstatements.org/page/InC/1.0/?language=en
coll009,https://live.staticflickr.com/65535/55141419187_2ec84c9ec9_w.jpg,,,Modern Version of Lemonade Stand,Decatur Herald and Review,1948-07-24,"Newspaper photograph showing 3 children standing near a table with comic books and 3 more children seated on the ground nearby reading comic books. The caption reads, ""Henry Chapman, standing at right, opened a comic book stand instead of the traditional kid's lemonade stand at Pekin, and in three hours of business sold $1.32 worth of his 100 books."" Public records indicate that Henry Llewellyn Chapman Jr. was born December 9, 1937, and died August 15, 2022. He worked predominantly in sales and marketing for companies including Xeror and IBM. The 1950 US Census records his address as 813 Chestnut St in Pekin, and this appears likely to be where the photo was taken. ",readers;entrepreneurship;Henry Chapman,"Pekin, IL",40.57729083,89.63970332,Newspapers.com,,Image;StillImage,image/jpeg,eng,In copyright,https://rightsstatements.org/page/InC/1.0/?language=en
coll010,https://live.staticflickr.com/65535/55142326506_94355abbce_w.jpg,,,Furnishes Art for Comic Strip,Sterling Daily Gazette,1930-06-10,"Newspaper article. The focus is on ""Raymond Westphal, graduate of the Sterling township high school, class of 1925"" who is drawing a ""feature comic strip portarying consensed biographies of famous movie stars."" The strip is called Star Dust and was syndicated by Midwest Feature Service of Chicago. The article notes that Westphal was art editor of his high school annual. Public records indicate that Westphal was born January 7, 1906, and died January 12, 2002. The Lambiek Comiclopedia's article about Westphal and Star Dust indicates that the strip's run is unknown, but perhaps lasted until 1932. Two samples of the strip are included there. The 1940 US Census shows Westphal living in Sterling and working as a sign painter. ",cartooning;strips;artists;Raymond Westphal;Star Dust [comic strip];Midwest Feature Service,"Sterling, IL",41.80127938,-89.69929583,Newspapers.com,,Image;StillImage,image/jpeg,eng,In copyright,https://rightsstatements.org/page/InC/1.0/?language=en
